"","Domain Code","Domain","Area Code (FAO)","Area","Year Code","Year","Item Code","Item","Months Code","Months","Unit","Value","Flag","Flag Description","Note","year_price","...1","country","variable","percentile","value","country_iso3","X1","AgrGDP","Pop","TotGDP","gdpCAP_wdi","gdpCAPppp_wdi","NonAgrGDP","growthWDI","AgrGDPgrowth","AgrGDPgrowthCap","TotGDPgrowth","TotGDPgrowthCap","NonAgrGDPgrowth","NonAgrGDPgrowthCap","firstyrWDIppp","GDPpctile_WDIppp","firstyrWDI","GDPpctile_WDI","continent","OilGDP","oil","gdpCAPppp","rgdpCAPgr","fid","UDel_temp_popweight","UDel_precip_popweight","UDel_precip_popweight_2","wdinomiss","bottom50","temp_sq","gdp_sq","temp_third","prec_third","temp_times_gdppc","prec_times_gdppc","time_trend","time_trend_sq","agri_share","avg_agri_share","Country Name","Indicator Name","Indicator Code","X65","agri_emp","avg_agri_emp","Above50","agri_bottom25","agri_25_50","agri_50_75","agri_top25","min_year","int_2007","agri_top50","agri_b25","agri_m_25_50","agri_m_50_75","agri_top_25","agri_top10","agri_b90","agri_top1","agri_b99","agri_top5","agri_b95","agri_top20","agri_b80","agri_b75","agri_b50"
"1","CP","Consumer Price Indices",3,"Albania",2000,2000,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,"January",NA,54.678585,"F","FAO estimate","base year is 2015",56.4561995,28,"AL","sptinc992j","p0p50",0.1974,"ALB",137,1541497452,3089027,6442273974,2085.535016,5403.242701,4900776448,0.0768320336937904,0.0440168604254723,0.0503904297947884,0.0704584643244743,0.0768320336937904,0.0789221227169037,0.0852956920862198,1990,41,1980,42,"EECA",4.72280120849609,0,4678.17138671875,0.064427375793457,5,14.18,1.08395,1.1749476025,33,0.1974,201.0724,21885287.523514,2851.206632,1273584453.72988,66336.4702636719,5070903.87463379,41,1681,0.239278468786214,0.218913949287955,"Albania","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS",NA,46.226001739502,45.4170555538601,1,0,0,1,0,1996,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0
"2","CP","Consumer Price Indices",3,"Albania",2001,2001,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,"January",NA,58.557016,"F","FAO estimate","base year is 2015",60.33337425,29,"AL","sptinc992j","p0p50",0.1953,"ALB",138,1575175684,3064111,6893233152,2249.668224,5828.482053,5318057472,0.0757573246955872,0.0216124951839447,0.0297111719846725,0.0676586478948593,0.0757573246955872,0.0817144513130188,0.0898131281137466,1990,41,1980,42,"EECA",4.72280120849609,0,4818.984375,0.074610710144043,5,13.86,1.0476,1.09746576,33,0.1953,192.0996,23222610.4064941,2662.500456,1149705130.176,66791.1234375,5048368.03125,42,1764,0.228510431791064,0.218913949287955,"Albania","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS",NA,46.0579986572266,45.4170555538601,1,0,0,1,0,1996,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0
"3","CP","Consumer Price Indices",3,"Albania",2002,2002,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,"January",NA,62.41287,"F","FAO estimate","base year is 2015",64.1492293333333,30,"AL","sptinc992j","p0p50",0.193,"ALB",139,1600408856,3051427,7093136913,2324.531084,6022.438137,5492727808,0.0327355861663818,0.015892319381237,0.0200404487550259,0.028587456792593,0.0327355861663818,0.0323169007897377,0.0364650301635265,1990,41,1980,42,"EECA",4.72280120849609,0,4837.07763671875,0.0374221801757812,5,13.9,1.20877,1.4611249129,33,0.193,193.21,23397320.0636446,2685.619,1766163960.96613,67235.3791503906,5846914.33493652,43,1849,0.225627797070551,0.218913949287955,"Albania","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS",NA,45.8580017089844,45.4170555538601,1,0,0,1,0,1996,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0
"4","CP","Consumer Price Indices",3,"Albania",2003,2003,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,"January",NA,66.112071,"F","FAO estimate","base year is 2015",67.3577203333333,31,"AL","sptinc992j","p0p50",0.1943,"ALB",140,1574498010,3033659,7497445717,2471.420063,6403.00082,5922947584,0.0612745769321918,-0.0163226332515478,-0.0104827657341957,0.0554347075521946,0.0612745769321918,0.0754092261195183,0.0812490954995155,1990,41,1980,42,"EECA",4.72280120849609,0,5044.96484375,0.050349235534668,5,14.29,1.22038,1.4893273444,33,0.1943,204.2041,25451670.2746735,2918.076589,1817545304.55887,72092.5476171875,6156774.19601563,44,1936,0.210004589487047,0.218913949287955,"Albania","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS",NA,45.6650009155273,45.4170555538601,1,0,0,1,0,1996,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0
"5","CP","Consumer Price Indices",3,"Albania",2004,2004,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,"January",NA,68.596507,"F","FAO estimate","base year is 2015",68.5587595833333,32,"AL","sptinc992j","p0p50",0.1985,"ALB",141,1631179939,3014579,7939795015,2633.798953,6823.695053,6308615168,0.0636343657970428,0.0353671424090862,0.041676439344883,0.0573250651359558,0.0636343657970428,0.0630819573998451,0.0693912580609322,1990,41,1980,42,"EECA",4.72280120849609,0,5252.40234375,0.0493526458740234,5,13.68,1.36614,1.8663384996,33,0.1985,187.1424,27587730.3806305,2560.108032,2549679677.84354,71852.8640625,7175516.93789063,45,2025,0.205443583356793,0.218913949287955,"Albania","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS",NA,45.4710006713867,45.4170555538601,1,0,0,1,0,1996,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0
"6","CP","Consumer Price Indices",3,"Albania",2005,2005,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,"January",NA,68.49356,"F","FAO estimate","base year is 2015",68.3425725,33,"AL","sptinc992j","p0p50",0.2002,"ALB",142,1642598198,2992724,8376483740,2798.949633,7251.570488,6733885440,0.0608169436454773,0.00697561353445053,0.0142517890781164,0.0535407662391663,0.0608169436454773,0.0652361214160919,0.072512298822403,1990,41,1980,42,"EECA",4.72280120849609,0,5533.09375,0.0505914688110352,5,13.1,1.32625,1.7589390625,33,0.2002,171.61,30615126.4462891,2248.091,2332792931.64062,72483.528125,7338265.5859375,46,2116,0.196096387098102,0.218913949287955,"Albania","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS",NA,45.2709999084473,45.4170555538601,1,0,0,1,0,1996,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0
"7","CP","Consumer Price Indices",3,"Albania",2006,2006,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,"January",NA,68.253352,"F","FAO estimate","base year is 2015",68.593075,34,"AL","sptinc992j","p0p50",0.2006,"ALB",143,1693518742,2968028,8795307928,2963.350726,7677.503881,7101789184,0.0570764131844044,0.0305292047560215,0.0388154536485672,0.0487901642918587,0.0570764131844044,0.0531944409012794,0.0614806935191154,1990,41,1980,42,"EECA",4.72280120849609,0,5917.4736328125,0.0481843948364258,5,12.93,1.16467,1.3564562089,33,0.2006,167.1849,35016494.1950312,2161.700757,1579823852.81956,76512.9340722656,6891904.01592773,47,2209,0.192547976246364,0.218913949287955,"Albania","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS",NA,45.0620002746582,45.4170555538601,1,0,0,1,0,1996,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0
"8","CP","Consumer Price Indices",3,"Albania",2007,2007,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,"January",NA,71.201486,"X","International reliable sources","base year is 2015",70.9645269166667,35,"AL","sptinc992j","p0p50",0.2041,"ALB",144,1739243748,2940880,9314231095,3167.157822,8205.531077,7574987264,0.0665139704942703,0.0266419313848019,0.0358308330178261,0.0573250651359558,0.0665139704942703,0.0645049214363098,0.0736938193440437,1990,41,1980,42,"EECA",4.72280120849609,0,6184.78369140625,0.0532474517822266,5,13.91,1.07421,1.1539271241,33,0.2041,193.4881,38251549.3094847,2691.419471,1239560055.97946,86030.3411474609,6643756.48914551,48,2304,0.186729718240902,0.218913949287955,"Albania","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS",NA,44.8569984436035,45.4170555538601,1,0,0,1,0,1996,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0
"9","CP","Consumer Price Indices",3,"Albania",2008,2008,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,"January",NA,74.727438,"X","International reliable sources","base year is 2015",74.6705679166667,36,"AL","sptinc992j","p0p50",0.2028,"ALB",145,1862730055,2912559,10031426890,3444.196972,8923.289233,8168696832,0.0838561803102493,0.068592794239521,0.0782695710659027,0.074179396033287,0.0838561803102493,0.0754577219486237,0.0851344987750053,1990,41,1980,42,"EECA",4.72280120849609,0,6942.23388671875,0.0689630508422852,5,13.91,1.05489,1.1127929121,33,0.2028,193.4881,48194611.3379061,2691.419471,1173874115.04517,96566.4733642578,7323293.10476074,49,2401,0.185689441335299,0.218913949287955,"Albania","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS",NA,44.6559982299805,45.4170555538601,1,0,0,1,0,1996,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0
"10","CP","Consumer Price Indices",3,"Albania",2009,2009,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,"January",NA,77.684688,"X","International reliable sources","base year is 2015",78.3197388333333,37,"AL","sptinc992j","p0p50",0.2099,"ALB",146,1899984656,2884303,10362463977,3592.709912,9308.059304,8462479360,0.0422159917652607,0.0198026280850172,0.0295514278113842,0.0324671901762486,0.0422159917652607,0.0353328101336956,0.0450816079974174,1990,41,1980,42,"EECA",4.72280120849609,0,7504.73681640625,0.0289373397827148,5,13.89,1.49783,2.2434947089,33,0.2099,192.9321,56321074.6835234,2679.826869,3360373679.83169,104240.794379883,11240819.9457178,50,2500,0.183352594539012,0.218913949287955,"Albania","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS",NA,44.0519981384277,45.4170555538601,1,0,0,1,0,1996,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0
